DAKTEXNET
VERV1.0.0
FMTDELI
ZWEDatenexport aus STANET
NUT
QUESTANET 9.1.37 Mar 14 2016
MEDF
DAT20.09.2017
ZEI14:52:56
TTR;
DTR.
NEB
NENTestNetz_einEinspeiser

REM Feldbeschreibungen Knoten
FEL;KNO;KNO;KNAM;C; 10;  0;Knotenname;
FEL;KNO;KNO;ZUFLUSS;N; 10;  3;Zufluss;t/h
FEL;KNO;KNO;FSTATUS;C;  1;  0;Fluss-Status;?
FEL;KNO;KNO;PMESS;N;  8;  4;Messdruck;bar
FEL;KNO;KNO;DSTATUS;C;  1;  0;Druck-Status;!
FEL;KNO;KNO;TEMP;N;  6;  1;Temperatur;C
FEL;KNO;KNO;GEOH;N;  7;  2;Höhe;mNN
FEL;KNO;KNO;PRECH;N;  9;  4;Ber.Druck;bar
FEL;KNO;KNO;DP;N;  8;  4;Diff.Druck;bar
FEL;KNO;KNO;HO;N;  8;  4;Qualität 1;
FEL;KNO;KNO;XRECHTS;N; 14;  5;Koordinate x;m
FEL;KNO;KNO;YHOCH;N; 14;  5;Koordinate y;m
FEL;KNO;KNO;HP;N; 11;  3;Druckhöhe;m
FEL;KNO;KNO;SYMBOL;N;  3;  0;Symbol-Nr.;
FEL;KNO;KNO;ABGAENGE;N;  3;  0;Abgänge;
FEL;KNO;KNO;NETZNR;N;  4;  0;Teilnetz;
FEL;KNO;KNO;GEBIET;C;  2;  0;Gebiet;
FEL;KNO;KNO;LASTMODI;N; 19;  0;Letzte Änderung;
FEL;KNO;KNO;LOCATION;C; 18;  0;Ort;
FEL;KNO;KNO;INVERT;N;  7;  2;Sohlhöhe;mNN
FEL;KNO;KNO;USERNAME;C; 16;  0;Letzter Benutzer;
FEL;KNO;KNO;TMIN;N; 11;  2;Minimale Laufzeit;h
FEL;KNO;KNO;TMAX;N; 11;  2;Maximale Laufzeit;h
FEL;KNO;KNO;RHO;N;  8;  2;Betriebsdichte;kg/m3
FEL;KNO;KNO;ETA;N;  8;  2;Medium-Zähigkeit;E-6kg/ms
FEL;KNO;KNO;QUALI2;N; 12;  4;Qualität 2;
